model,class,precision,recall,f1_score,support
LogReg,Attack(0),0.9998,0.9997,0.9998,47303
LogReg,Normal(1),0.9989,0.9993,0.9991,12697
RF,Attack(0),1.0,0.9999,1.0,47303
RF,Normal(1),0.9998,1.0,0.9999,12697
HGB,Attack(0),1.0,1.0,1.0,47303
HGB,Normal(1),0.9998,0.9999,0.9999,12697
MLP,Attack(0),1.0,0.9999,0.9999,47303
MLP,Normal(1),0.9994,0.9999,0.9997,12697
